id,categoria,nome,desc,preco,imagem,,
58,bebidas,Coca Zero Lata,Lata 350ml,6.50,https://drive.google.com/file/d/1GO0uk1MQgp-8NDXFvyTtGp0OmeOpaxWN/view?usp=drive_link,,
59,bebidas,Pepsi Lata,Lata 350ml,6.50,https://drive.google.com/file/d/1YhZHkZgmeOLdICWyTTDoEiMxHtdko-Xy/view?usp=drive_link,,
60,bebidas,Pepsi Black Lata,Lata 350ml,6.50,https://drive.google.com/file/d/1mKf-RVK8QzQZ2V_AdzZ05R7dDyUTCgvQ/view?usp=drive_link,,
61,bebidas,Guaraná Lata,Lata 350ml,6.50,https://drive.google.com/file/d/1jJSn41bLDU9hL8J9KIRCvj_IX7PXr0St/view?usp=drive_link,,
62,bebidas,Guaraná Zero,Lata 350ml,6.50,https://drive.google.com/file/d/1SOw0EItDVkLQRy1fOc1Zbryjhtd_4nhA/view?usp=drive_link,,
63,bebidas,Água,Sem gás 500ml,3.90,https://drive.google.com/file/d/1yKb6ogUDgxmwg_UHSSs_ZO974GMI5n_8/view?usp=drive_link,,
64,bebidas,Água com Gás,Garrafa 500ml,5.00,https://drive.google.com/file/d/1lod31q1PZMDpv3E6Y7MdFl09MgUuasz7/view?usp=drive_link,,
65,bebidas,Suco Copo,Copo 300ml,8.90,https://drive.google.com/file/d/1-ysm4u606TMRjLdu_AVx09702cMlfteD/view?usp=drive_link,,
66,bebidas,Suco Jarra,Jarra 1 Litro,17.90,https://drive.google.com/file/d/1hiCkiakR5S8iWYWo-dJ18PB0VXxDtVDn/view?usp=drive_link,,
67,bebidas,Redbull Zero 250 ml,Lata 250ml,12.00,https://drive.google.com/file/d/1_fKROaCSzDQqiwoTfjFy-uUkoXqcReqy/view?usp=drive_link,,
68,bebidas,Limoneto H2O,Garrafa 500ml,8.00,https://drive.google.com/file/d/13DzpYAE9gheZ2iWxEwVQ3kdRq9KT1rFP/view?usp=drive_link,,
69,bebidas,Água Tônica,Lata 350ml,6.50,https://drive.google.com/file/d/1a7JrTVE6k4IUYbz6t0gP8RYEfqr5th9g/view?usp=drive_link,,
70,bebidas,Redbull 250ml,Lata 250ml,12.00,https://drive.google.com/file/d/11E_Oo_Yj3OlzZiMUDfJvv_7lRicHRXHO/view?usp=drive_link,,
71,bebidas,Gatorade Sabores,"Morango & Maracujá, Uva, Limão e Berry Blue",8.00,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
72,diversos,Amendoim,Sabores AmendoAlho & AmendoLemon,4.99,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
73,diversos,Barra de Proteína,"Ovomaltine, Snickers, Coco,",10.00,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
74,diversos,Trident,Menta e Hortelâ,3.00,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
75,diversos,Gelo,Saco adicional,2.00,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
76,diversos,CDB,"Limão, Sal e Gelo",4.50,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
77,diversos,Cigarro Paulistinha,Sabores Tradicional & Menta,3.00,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
78,diversos,Halls,Unidade,3.00,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
79,diversos,Halls,Unidade,3.00,https://drive.google.com/file/d/14wAKYP-K1Te8Ru4EIrR8fAAr7THmzE-b/view?usp=drive_link,,
